                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.0658,                0.66871,                0.88176,                0.91772,                0.90041,                0.90384,                0.54388,                 1.3408,                0.67185,                0.92276,             0.00035281,             0.00035281,             0.00035281
                     90,                  1.033,                0.65343,                0.86848,                0.90679,                0.91895,                0.91066,                0.54881,                 1.3008,                0.65951,                0.92091,              0.0003425,              0.0003425,              0.0003425
                     91,                 1.0204,                0.65426,                0.86383,                0.94529,                0.90076,                0.93272,                0.55899,                 1.2808,                0.64612,                0.91655,             0.00033219,             0.00033219,             0.00033219
                     92,                 1.0796,                0.67094,                0.87427,                0.92665,                0.91162,                0.92747,                0.56495,                 1.3198,                0.64158,                0.91813,             0.00032188,             0.00032188,             0.00032188
                     93,                  1.056,                0.64006,                0.86105,                0.93951,                0.92508,                 0.9232,                 0.5643,                 1.3372,                0.64754,                0.91748,             0.00031156,             0.00031156,             0.00031156
                     94,                  1.016,                0.64703,                0.87599,                0.93687,                0.92021,                 0.9211,                0.55551,                 1.3278,                0.65908,                 0.9202,             0.00030125,             0.00030125,             0.00030125
                     95,                   1.02,                0.63671,                0.86588,                0.93213,                0.90908,                0.91778,                0.55389,                 1.3276,                0.67434,                0.92041,             0.00029094,             0.00029094,             0.00029094
                     96,                 1.0309,                0.65114,                 0.8714,                0.93151,                0.89895,                0.91326,                0.55489,                  1.334,                 0.6714,                0.92001,             0.00028063,             0.00028063,             0.00028063
                     97,                 1.0425,                0.63611,                0.87138,                0.93075,                0.90873,                0.90658,                0.54876,                   1.31,                0.66496,                0.91747,             0.00027031,             0.00027031,             0.00027031
                     98,                 1.0149,                0.63683,                0.87149,                0.93779,                0.92754,                0.92409,                0.55474,                 1.2844,                0.66028,                0.91668,                0.00026,                0.00026,                0.00026
                     99,                 1.0171,                0.62322,                0.87219,                 0.9389,                 0.9261,                0.92215,                0.55672,                 1.3209,                0.66788,                0.91748,             0.00024969,             0.00024969,             0.00024969
                    100,                 1.0137,                0.65272,                0.85707,                 0.9335,                0.92703,                0.92847,                0.55347,                  1.352,                0.65295,                0.92098,             0.00023938,             0.00023938,             0.00023938
                    101,                 1.0116,                0.62606,                0.86789,                0.94056,                0.92445,                0.93572,                0.55817,                 1.3238,                0.64425,                0.92103,             0.00022906,             0.00022906,             0.00022906
                    102,                0.99463,                0.61863,                0.85905,                0.94177,                0.92851,                0.93462,                0.56154,                 1.3057,                0.64109,                0.91891,             0.00021875,             0.00021875,             0.00021875
                    103,                0.98659,                0.62453,                0.87382,                 0.9385,                0.93002,                0.92946,                0.56106,                 1.3132,                0.64925,                  0.919,             0.00020844,             0.00020844,             0.00020844
                    104,                0.97909,                0.59839,                0.86048,                 0.9361,                0.92903,                0.92818,                0.56782,                 1.3072,                0.65385,                0.91944,             0.00019813,             0.00019813,             0.00019813
                    105,                0.98918,                0.64107,                0.84981,                0.94812,                0.93385,                0.94196,                0.57025,                  1.311,                0.64985,                0.92207,             0.00018781,             0.00018781,             0.00018781
                    106,                 1.0023,                0.62288,                0.85864,                0.93068,                0.94718,                0.94128,                0.56517,                   1.32,                0.65126,                0.92385,              0.0001775,              0.0001775,              0.0001775
                    107,                0.99292,                0.61761,                0.85898,                0.92524,                0.94388,                0.93657,                0.56304,                 1.3232,                0.65463,                0.92381,             0.00016719,             0.00016719,             0.00016719
                    108,                 1.0166,                 0.6218,                 0.8644,                0.92664,                0.93331,                0.91698,                0.55944,                 1.3217,                0.64504,                0.92149,             0.00015688,             0.00015688,             0.00015688
                    109,                0.97191,                0.60825,                0.86092,                0.94812,                0.93366,                0.92101,                0.56474,                 1.3004,                0.64078,                0.91975,             0.00014656,             0.00014656,             0.00014656
                    110,                0.98568,                0.62032,                0.85998,                0.93866,                0.92829,                0.92167,                0.57006,                 1.2995,                0.64528,                0.91936,             0.00013625,             0.00013625,             0.00013625
                    111,                 1.0466,                0.67815,                0.88619,                0.93364,                0.91763,                0.90144,                0.56779,                 1.2885,                0.65875,                0.91886,             0.00012594,             0.00012594,             0.00012594
                    112,                 1.0421,                0.67009,                0.88053,                 0.9278,                0.90937,                0.88781,                0.55759,                 1.3043,                0.66452,                0.92299,             0.00011563,             0.00011563,             0.00011563
                    113,                0.98494,                0.63174,                0.86718,                0.93154,                0.91099,                0.89423,                0.55511,                 1.3134,                0.66552,                0.92449,             0.00010531,             0.00010531,             0.00010531
                    114,                 1.0138,                0.64034,                0.87864,                0.93786,                 0.9117,                0.90137,                0.56273,                 1.3064,                0.65698,                 0.9217,                9.5e-05,                9.5e-05,                9.5e-05
                    115,                0.93663,                0.60428,                0.86789,                0.94161,                 0.9131,                0.91259,                0.57176,                  1.281,                0.64823,                0.91861,             8.4688e-05,             8.4688e-05,             8.4688e-05
                    116,                0.95333,                0.60858,                0.86209,                0.93405,                0.92719,                0.91868,                0.57133,                 1.2731,                0.64934,                0.91923,             7.4375e-05,             7.4375e-05,             7.4375e-05
                    117,                0.90032,                0.58767,                  0.852,                0.91985,                0.93548,                0.91872,                0.56854,                 1.2709,                0.64319,                0.91934,             6.4062e-05,             6.4062e-05,             6.4062e-05
                    118,                0.93079,                 0.5976,                0.86456,                0.91371,                0.92896,                0.90522,                0.57322,                 1.2761,                0.64179,                0.91868,              5.375e-05,              5.375e-05,              5.375e-05
                    119,                0.97172,                0.61242,                0.86751,                0.91954,                0.91751,                0.90364,                0.56807,                 1.2837,                0.64277,                0.91849,             4.3438e-05,             4.3438e-05,             4.3438e-05
                    120,                0.94416,                0.60354,                0.87299,                 0.9046,                0.93137,                0.91211,                0.57024,                 1.2815,                0.64031,                0.91952,             3.3125e-05,             3.3125e-05,             3.3125e-05
